Species_Name,Scientific_Name,Conservation_Status,Dominant_Threat_Factor,Correlation_Value,Years_Max,Population_Trend_Summary,Conservation_Suggestion,N_Current_Pop_Size,r_Intrinsic_Growth_Rate,Es_Environmental_Stochasticity,Habitat_K_Ratio,Threat_Score_Fragmentation,Threat_Score_Poaching,Threat_Score_Conflict,Poaching_Harvest_Rate
Lion-tailed Macaque,Macaca silenus,Endangered,Habitat loss and fragmentation,0.88,60,Declining,"Stop encroachment, control hunting, prevent road-kills, manage fragmentation, restore degraded habitats, and implement conservation breeding.",3267,0.032526821,0.168324873,0.35980129,0.775360699,0.336828578,0.623361474,0.018252401
Bonnet Macaque,Macaca radiata,Vulnerable,Human-wildlife conflict,0.75,100,Population decreasing,Plan effective conservation strategies for this commensal species before its status worsens.,6141,0.129275173,0.05,0.618701425,0.655403219,0.498021132,0.130282047,0.033085702
Nilgiri Langur,Semnopithecus johnii,Vulnerable,Habitat destruction and poaching,0.78,100,Population decreasing,"Implement conservation plans including training forest staff, conflict resolution, and community involvement.",1586,0.13566998,0.3,0.454026124,0.580325101,0.352775828,0.425448558,0.085926316
Tufted Grey Langur,Semnopithecus priam,Near Threatened,"Habitat loss, degradation, and fragmentation",0.55,150,Population decreasing,"Focus on resolving human-primate conflicts, especially crop raiding, through community-based programs.",3066,0.102350861,0.188730964,0.664451936,0.362877944,0.538268319,0.304690032,0.058719129
Grey Slender Loris,Loris lydekkerianus,Near Threatened,Habitat loss and fragmentation; poaching,0.58,150,Population decreasing,The involvement of local communities and the forest department is essential for creating awareness and monitoring conflict zones.,4988,0.161158548,0.05,0.829727267,0.564760026,0.391578368,0.337695846,0.079821147
South-western Langur,Semnopithecus hypoleucos,Least Concern,Habitat loss and fragmentation; human-langur conflicts,0.25,200,Generally stable,Conservation strategies should be community-focused to address human-primate conflicts.,5690,0.06582841,0.05,0.89746178,0.441702004,0.162412954,0.299767424,0.028411339
Bengal Tiger,Panthera tigris,Endangered,Poaching for Illegal Wildlife Trade,0.93,60,Still at high risk despite conservation success,"Strengthen anti-poaching patrols, implement stricter law enforcement, and establish wildlife corridors.",4324,0.074507121,0.061015228,0.924370638,0.169901758,0.182356846,0.242273718,0.023047704
Indian Leopard,Panthera pardus,Vulnerable,Human-leopard conflict; illegal trade in skins,0.84,100,Population is declining,Focus on mitigating human-leopard conflict through community education. Protecting and restoring habitat connectivity is also essential.,8540,0.02,0.05,0.962108765,0.48991543,0.153931906,0.369595842,0.014028962
Indian Grey Wolf,Canis lupus pallipes,Endangered (in India),Habitat destruction and persecution by humans,0.83,60,"Population estimated at 2,000-3,000 individuals; declining","Focus on promoting coexistence with humans, including community education and compensation programs for livestock loss.",4050,0.145991376,0.088832487,0.655517444,0.46865392,0.642725183,0.234211919,0.047739881
Dhole (Indian Wild Dog),Cuon alpinus,Endangered,Habitat Loss and Prey Depletion,0.85,60,"Population decreasing, estimated at fewer than 2,500 mature individuals","Protect forest habitats and the prey species they depend on, and prevent forest fragmentation.",5615,0.115693098,0.05,0.470608274,0.712480302,0.245638347,0.474945412,0.042496071
Golden Jackal,Canis aureus,Least Concern,Human-wildlife conflict and habitat loss,0.2,200,Widespread and common,Conservation efforts should focus on public awareness programs to reduce human-jackal conflict and on creating coexistence strategies.,7879,0.02,0.05,0.67708194,0.1,0.05,0.385266151,0.010246338
Striped Hyena,Hyaena hyaena,Near Threatened,Persecution by humans; habitat loss and road kills,0.59,150,Population is dwindling in many parts of its range,Community-based conservation is key to changing negative perceptions and minimizing human-hyena conflict.,7019,0.02,0.05,0.8266535,0.547039966,0.499209666,0.389939117,0.089249129
Sloth Bear,Melursus ursinus,Vulnerable,Habitat loss and fragmentation; human-wildlife conflict; poaching,0.82,100,Decreasing overall due to habitat loss and human conflict,Protect and connect large forest patches to create wildlife corridors. Reducing human-bear conflict is also crucial.,9528,0.056368469,0.05,0.454548044,0.26888639,0.778629391,0.223931541,0.121513235
Rusty-spotted Cat,Prionailurus rubiginosus,Near Threatened,Habitat loss; persecution by farmers,0.5,150,Overall population is declining,Conservation needs to focus on habitat preservation. Community education is essential to reduce retaliatory killing.,8578,0.139682897,0.05,1,0.563844668,0.593270797,0.264546789,0.034641227
Jungle Cat,Felis chaus,Least Concern,Habitat loss (wetlands); persecution,0.35,200,Wide range and adaptable nature,Protect its wetland habitats. Public awareness about the species' importance in controlling rodent populations is vital.,9642,0.084981976,0.05,0.879577708,0.574856011,0.249169109,0.121813079,0.060721953
Leopard Cat,Prionailurus bengalensis,Least Concern,Habitat loss and fragmentation; poaching for fur/pet trade,0.3,200,Widespread and common,Conservation efforts should focus on regulating the illegal pet trade and enforcing laws that protect the species.,1533,0.059760654,0.3,0.658686566,0.482631045,0.05,0.247047591,0.010487142
Fishing Cat,Prionailurus viverrinus,Vulnerable,Wetland degradation/destruction; pollution; retaliatory killings,0.85,100,Global population declined by âˆ¼30% in the last 15 years,Protecting and restoring wetlands is the most critical step. Control pollution and use community engagement/education to reduce conflict.,4350,0.049694205,0.058375635,0.557825614,0.661458625,0.366432974,0.144513613,0.039781579
Malabar Large-spotted Civet,Viverra civettina,Critically Endangered,Severe Habitat Loss and Fragmentation,0.95,40,"Possibly extinct, no confirmed sightings since the early 1990s","Urgent action is needed: protecting remaining forest fragments, implementing conservation breeding programs, and conducting intensive surveys.",6966,0.047454402,0.05,0.566175784,0.250846788,0.36019403,0.496960277,0.088605594
Small Indian Civet,Viverricula indica,Least Concern,Habitat degradation and poaching,0.28,200,Wide distribution and adaptability,Focus on public awareness about the species' importance and protecting its habitats.,2911,0.02,0.204467005,0.714841243,0.72154409,0.157700097,0.307580372,0.026868362
Common Palm Civet,Paradoxurus hermaphroditus,Least Concern,Habitat loss and persecution (pest); illegal pet trade,0.33,200,Wide distribution and adaptability,Focus on developing coexistence strategies with local communities to mitigate conflict.,5053,0.039630208,0.05,0.654119479,0.358384227,0.537759326,0.325574585,0.089528609
Brown Palm Civet,Paradoxurus jerdoni,Least Concern,Habitat loss and fragmentation,0.38,200,Relatively stable population within its limited range,Conservation efforts should prioritize the protection of its specific forest habitats to prevent further fragmentation.,6412,0.046471096,0.05,0.890100551,0.18882027,0.861656625,0.266228021,0.171999273
Common Mongoose,Herpestes edwardsii,Least Concern,Road kills and hunting,0.15,200,Highly adaptable and widespread,Focus on public awareness to reduce persecution and road accidents.,7679,0.134131162,0.05,0.631404834,0.445520806,0.455570679,0.329636838,0.096742237
Ruddy Mongoose,Herpestes smithii,Least Concern,Habitat loss,0.1,200,Widespread and common,Habitat protection is crucial for this species.,5608,0.091713847,0.05,0.801100362,0.1,0.440119052,0.669731645,0.079791701
Stripe-necked Mongoose,Herpestes vitticollis,Least Concern,Habitat loss (riparian habitats),0.22,200,Widespread and common,Protecting the riverside habitats where it lives is essential for its conservation.,7915,0.058720758,0.05,0.694215023,0.550834778,0.165692988,0.254978957,0.012529563
Smooth-coated Otter,Lutrogale perspicillata,Vulnerable,Habitat loss and pollution of water bodies; poaching,0.77,100,Population decreasing,Protecting freshwater ecosystems from pollution and encroachment is critical. Anti-poaching efforts and community education are also vital.,9142,0.2,0.05,0.753933871,0.448149911,0.749353676,0.202438045,0.088164084
Nilgiri Marten,Martes gwatkinsii,Vulnerable,Habitat loss and fragmentation,0.76,100,Small and fragmented population,Protecting its unique montane forest habitat and establishing wildlife corridors to connect fragmented areas are essential.,1962,0.066805154,0.3,0.653988713,0.746737384,0.381213958,0.37945397,0.089820386
Honey Badger,Mellivora capensis,Least Concern,Habitat loss and persecution (HWC),0.37,200,Wide adaptability,Community education is crucial to reduce conflict and promote coexistence with this species.,7301,0.158355146,0.05,0.841543108,0.629784842,0.255259186,0.1,0.024229999
Brown Mongoose,Herpestes fuscus,Least Concern,Habitat loss and fragmentation,0.29,200,Widespread and common,Conservation efforts should focus on the protection of its specific montane forest habitat.,7874,0.181055428,0.05,0.844508016,0.221600733,0.415922098,0.309593518,0.051754603
Asiatic Elephant,Elephas maximus,Endangered,"Habitat loss, fragmentation, and human-elephant conflict",0.91,60,Declining due to human encroachment and high conflict rates,"Secure and restore habitats, establish wildlife corridors, and mitigate human-elephant conflict through community engagement.",6322,0.021501983,0.05,0.791985805,0.332322502,0.517990333,0.244243065,0.070661846
Gaur (Indian Bison),Bos gaurus,Vulnerable,Habitat loss and fragmentation; poaching,0.74,100,Population decreasing,Conservation efforts should focus on habitat protection and anti-poaching measures.,681,0.103698148,0.3,0.821502865,0.604132884,0.434803852,0.15115301,0.059951189
Sambar Deer,Rusa unicolor,Vulnerable,Habitat loss and degradation; poaching,0.73,100,Population decreasing,Habitat protection and strict anti-poaching laws are vital.,353,0.074123317,0.3,0.511126244,0.669415802,0.701538349,0.376163651,0.121077042
Spotted Deer (Chital),Axis axis,Least Concern,Habitat loss and poaching,0.18,200,Species is stable,Continued habitat protection is needed to ensure the species' long-term stability.,7817,0.07005378,0.05,0.764649153,0.744500183,0.495992888,0.308098263,0.118351426
Indian Muntjac,Muntiacus muntjak,Least Concern,Habitat loss and hunting,0.21,200,Widespread across India and Southeast Asia,Habitat protection and community-based conservation.,1724,0.127768841,0.3,0.949840353,0.742901857,0.329014547,0.1,0.032289008
Wild Boar,Sus scrofa,Least Concern,Persecution (pest) by farmers,0.1,200,Highly adaptable and widespread,"No specific conservation measures are required, but management of human-wildlife conflict is needed.",2320,0.068856475,0.264467005,0.798280913,0.482095478,0.500298054,0.203020572,0.037172283
Four-horned Antelope,Tetracerus quadricornis,Vulnerable,Habitat loss and fragmentation; hunting,0.72,100,Population decreasing,Protecting its specific habitat and strict enforcement of anti-poaching laws.,2543,0.075201548,0.241827411,0.493856499,0.572531124,0.524909275,0.1,0.046976282
Blackbuck,Antilope cervicapra,Least Concern,Habitat loss and hunting (historical),0.12,200,Population has recovered,Continued habitat protection is vital to prevent future decline.,5336,0.091594255,0.05,0.690046698,0.759747701,0.07590602,0.343990397,0.017259889
Indian Chevrotain,Moschiola indica,Least Concern,Habitat loss and hunting,0.23,200,Widespread and common,Protecting its forest habitat is essential.,5960,0.081330037,0.05,0.774995588,0.439338308,0.687354932,0.342494913,0.123147996
Indian Gazelle (Chinkara),Gazella bennettii,Least Concern,Habitat loss and hunting,0.19,200,Widespread and common,Habitat protection and anti-poaching measures.,1440,0.04132149,0.3,0.548520097,0.575945237,0.324773995,0.181007716,0.034809718
Malabar Giant Squirrel,Ratufa indica,Least Concern,Habitat loss and fragmentation,0.26,200,Under threat from habitat loss in certain areas,"Protecting its unique forest habitats, especially in the Western and Eastern Ghats, is crucial for its long-term survival.",260,0.139795325,0.3,0.428345761,0.434623844,0.331169194,0.381016907,0.070601758
Indian Giant Flying Squirrel,Petaurista philippensis,Least Concern,"Habitat degradation, fragmentation, and hunting",0.28,200,Stable status,Conservation efforts should focus on habitat protection and community awareness to reduce hunting.,9330,0.152426547,0.05,0.636780426,0.389810377,0.587843997,0.107625207,0.130662436
Travancore Flying Squirrel,Petinomys fuscocapillus,Vulnerable,Habitat loss and fragmentation,0.7,100,Population decreasing,Protecting and restoring its native forest habitats are critical.,1839,0.117180929,0.3,0.551833518,0.509677024,0.586791306,0.155022446,0.128685016
Indian Porcupine,Hystrix indica,Least Concern,Persecution (pest); hunting,0.15,200,Not a major conservation concern globally,Education for local communities to reduce human-wildlife conflict and strict enforcement of anti-poaching laws.,6385,0.081172367,0.05,0.697142194,0.36249131,0.22479208,0.36257857,0.052553085
Indian Hare,Lepus nigricollis,Least Concern,Habitat loss and hunting,0.17,200,Common in the Indian subcontinent,Continued habitat protection and monitoring of hunting levels are needed to maintain its stable population.,8170,0.064739463,0.05,0.381719071,0.473816805,0.600725405,0.196699987,0.060341788
Three-striped Palm Squirrel,Funambulus palmarum,Least Concern,Persecution (nuisance) in urban areas,0.1,200,Common throughout India and Sri Lanka,"None are specifically required, but coexistence strategies are needed in urban settings.",1452,0.064818997,0.3,0.812940213,0.293009027,0.259887962,0.290601457,0.05223966
Jungle Striped Squirrel,Funambulus tristriatus,Least Concern,Habitat loss; persecution (pest),0.19,200,Stable status,Habitat protection and managing human-squirrel conflict in agricultural areas.,4403,0.2,0.052994924,0.573078993,0.462001123,0.854893262,0.215452646,0.121487086
House Mouse,Mus musculus,Least Concern,Pest (population control/extermination),0.05,200,Global commensal species,No conservation suggestions; efforts focus on population control and management due to its pest status.,8563,0.146891915,0.05,0.899150447,0.589678059,0.192951505,0.238360327,0.042140553
Little Indian Field Mouse,Mus booduga,Least Concern,Agricultural pest (control measures),0.07,200,Widespread species,None are needed; efforts focus on pest management.,9850,0.057994496,0.05,0.644620232,0.382247293,0.459869365,0.244916368,0.089995577
Large Bandicoot Rat,Bandicota indica,Least Concern,Persecution (pest); habitat loss,0.09,200,Widespread and common,Management efforts are primarily for pest control.,3749,0.108234891,0.119390863,0.694922191,0.501858351,0.204495591,0.193986486,0.041980795
Lesser Bandicoot Rat,Bandicota bengalensis,Least Concern,Persecution (pest) and habitat control,0.08,200,Major pest,No conservation suggestions; focus is on pest management.,4397,0.081873249,0.053604061,0.665393024,0.527868519,0.9,0.345367457,0.163109131
House Rat,Rattus rattus,Least Concern,Pest (damages property and spreads diseases),0.06,200,Commensal rodent found globally,Control measures are the primary focus.,7209,0.129190019,0.05,0.562368062,0.590506978,0.090544764,0.205810727,0.01
Sahyadris Forest Rat,Rattus satarae,Vulnerable,Habitat loss and fragmentation,0.69,100,Endemic to the Western Ghats,Protection of its unique montane forest habitats is essential.,6867,0.127174955,0.05,1,0.473284032,0.531090687,0.302353007,0.084446278
Indian Bush Rat,Golunda ellioti,Least Concern,Habitat loss,0.14,200,Widespread and common,Continued monitoring of its population and habitat protection.,2522,0.154180483,0.243959391,0.600826764,0.717173268,0.216272396,0.190690248,0.053404997
Indian Flying Fox,Pteropus giganteus,Least Concern,Habitat loss; persecution; hunting,0.39,200,Widespread and major pollinator,Focus on public awareness about their ecological role as pollinators and seed dispersers to reduce persecution.,4290,0.057472177,0.064467005,0.904704304,0.1,0.31147309,0.1,0.073967886
Lesser Mouse-tailed Bat,Rhinopoma hardwickii,Least Concern,Habitat loss and disturbance to roosting sites,0.24,200,Widespread and common,Protecting their roosting sites from human disturbance is crucial.,7160,0.105236765,0.05,0.481274211,0.9,0.513384458,0.436865287,0.030102168
