Species_Name,Scientific_Name,Conservation_Status,Dominant_Threat_Factor,Correlation_Value,Years_Max,Population_Trend_Summary,Conservation_Suggestion,N_Current_Pop_Size,r_Intrinsic_Growth_Rate,Es_Environmental_Stochasticity,Habitat_K_Ratio,Threat_Score_Fragmentation,Threat_Score_Poaching,Threat_Score_Conflict,Poaching_Harvest_Rate
Greater False Vampire,Megaderma lyra,Least Concern,Habitat loss and disturbance to its roosting sites,0.27,200,Widespread and common,Protection of their roosting sites is essential.,3204,0.02,0.174720812,0.774426278,0.325773247,0.706146109,0.374929048,0.058583974
Lesser False Vampire,Megaderma spasma,Least Concern,Habitat destruction and human disturbance,0.29,200,Widespread and common,Protecting their forest habitats and roosting sites from human encroachment.,5336,0.037132985,0.05,0.795774433,0.580678005,0.805849141,0.64330231,0.061523161
Rufous Horseshoe Bat,Rhinolophus rouxii,Least Concern,Habitat loss and illegal cave-mining,0.32,200,Widespread and common,Protecting their roosting caves and forest habitats.,529,0.144205042,0.3,0.695164605,0.312306418,0.05,0.143404074,0.01
Kolar Leaf-nosed Bat,Hipposideros hypophyllus,Critically Endangered,Disturbance to its only known roosting site (mining),0.92,40,"Endemic to a single cave, steeply declining",The most urgent conservation measure is to declare the cave and its surrounding area a protected zone and stop all mining activities.,3840,0.05246581,0.110152284,0.585799056,0.628853632,0.466937806,0.268655927,0.099717868
Indian Painted Bat,Kerivoula picta,Least Concern,Habitat loss,0.3,200,Widespread and common,Protection of its forest habitats.,8182,0.05795456,0.05,0.647335619,0.555313831,0.764873401,0.280723878,0.070905503
Indian Pipistrelle,Pipistrellus coromandra,Least Concern,Use of pesticides in agricultural areas,0.31,200,Highly adaptable and widespread,Regulation of pesticide use and public awareness about the benefits of bats.,4307,0.099586096,0.062741117,0.6193421,0.369857293,0.05,0.448405416,0.01
Tickell's Bat,Hesperoptenus tickelli,Least Concern,Habitat loss,0.2,200,Widespread and common,Protecting its forest habitats.,1541,0.134738052,0.3,1,0.714617469,0.478595874,0.223933816,0.104401194
Asiatic Lesser Yellow House Bat,Scotophilus kuhlii,Least Concern,No major threats,0.05,200,Highly adaptable species,None needed.,8607,0.04695866,0.05,0.695479382,0.467207824,0.399479051,0.124343722,0.078521726
Wrinkle-lipped Free-tailed Bat,Chaerephon plicata,Least Concern,Disturbance to its roosting caves and pesticide use,0.34,200,Widespread and common,Protecting its roosting caves and managing pesticide use.,538,0.02,0.3,0.804977756,0.609443188,0.503635454,0.481171396,0.079799749
Wroughton's Free-tailed Bat,Otomops wroughtoni,Critically Endangered,Habitat loss and disturbance to its few known roosting caves (mining/tourism),0.9,40,"Extremely rare, steeply declining",Urgent protection of its roosting sites and their surrounding habitats.,6095,0.056488838,0.05,1,0.316568039,0.206923994,0.252502496,0.03477762
Horsfield's Shrew,Crocidura horsfieldi,Least Concern,Habitat loss,0.16,200,"Widespread, adaptable, and large population",None are specifically required.,2908,0.160281404,0.204771574,0.524736266,0.493822473,0.05,0.431796526,0.01
House Shrew,Suncus murinus,Least Concern,Nuisance to humans (control measures),0.05,200,One of the most widespread shrew species in the world,No specific conservation efforts are required.,1950,0.117156753,0.3,0.707532047,0.9,0.05,0.41432976,0.01
Pygmy-toothed Shrew,Suncus etruscus,Least Concern,Habitat loss,0.11,200,One of the smallest mammals in the world,Protecting its natural habitats is important.,5804,0.16619374,0.05,0.646162774,0.692593106,0.644095988,0.295516429,0.104990479
Hill Shrew,Suncus montanus,Least Concern,Habitat loss and fragmentation,0.25,200,Widespread and common,Protection of its specific montane forest habitat is crucial.,2621,0.043409193,0.233908629,0.682772311,0.561524151,0.676012284,0.273852944,0.1269396
Day's Shrew,Suncus dayi,Endangered,Habitat loss and fragmentation,0.79,60,Small and declining population,Urgent protection of its limited forest habitat is needed.,7319,0.02,0.05,0.664197607,0.410215834,0.475671337,0.241265279,0.106866503
Madras Hedgehog,Hemiechinus nudiventris,Least Concern,Habitat loss and poaching,0.18,200,Endemic to southern India,Public awareness and habitat protection are important to mitigate threats.,9101,0.123127428,0.05,0.553624583,0.513499707,0.266462913,0.297721031,0.047232755
Indian Pangolin,Manis crassicaudata,Endangered,Illegal poaching for the wildlife trade,0.95,60,Rapidly decreasing trend due to heavy poaching,"Urgent and strict anti-poaching measures, international collaboration to stop the illegal trade, and public awareness campaigns.",5519,0.112001137,0.05,0.739082057,0.539513198,0.05,0.429465034,0.010111215
Common Indian Toad,Duttaphrynus melanostictus,Least Concern,Human persecution; pollution and road kills,0.09,200,One of the most widespread and common toad species in Asia,No specific conservation efforts are required.,6809,0.115277716,0.05,0.487473445,0.589845687,0.540836366,0.180533973,0.044356331
Beddome's Toad,Duttaphrynus beddomii,Vulnerable,Habitat loss and fragmentation,0.68,100,Population is decreasing,Protecting and restoring its native forest habitats are critical.,5587,0.146649832,0.05,0.897776547,0.284667898,0.124805179,0.316326845,0.017761212
Ornate Warty Frog,Ghatophryne ornata,Vulnerable,Habitat loss and fragmentation,0.67,100,Population decreasing,Protecting its specific forest and stream habitats is essential.,4193,0.121084246,0.074314721,0.824661961,0.633681592,0.222175344,0.132205286,0.011523418
Rubiginous Warty Frog,Ghatophryne rubigina,Vulnerable,Habitat loss,0.66,100,Population decreasing,Protecting its native forest habitats is crucial.,8880,0.12028088,0.05,0.601307437,0.28208138,0.25335898,0.150884065,0.02516761
Malabar Tree Toad,Pedostibes tuberculosus,Vulnerable,Habitat loss and fragmentation,0.65,100,Population decreasing,Protecting and restoring its forest habitats are vital for its survival.,8244,0.135750351,0.05,0.611003336,0.82622517,0.350616194,0.29535915,0.068472658
Koyna Toad,Xanthophryne koynayensis,Endangered,Habitat loss,0.81,60,Population decreasing,Urgent protection of its limited habitat is needed.,8438,0.125120832,0.05,0.755102112,0.345674336,0.210239888,0.1,0.052215597
Indian Skittering Frog,Euphlyctis cyanophlyctis,Least Concern,Pollution of water bodies and habitat degradation,0.15,200,Widespread and highly adaptable,"None are specifically required, but maintaining healthy freshwater ecosystems is important.",5073,0.142872297,0.05,0.540290937,0.559325664,0.408364693,0.609083792,0.028518401
Indian Pond Frog,Euphlyctis hexadactylus,Least Concern,Habitat loss (draining of wetlands) and pollution,0.2,200,Widespread and common,Protecting and restoring wetland habitats are crucial for this species.,5006,0.150426041,0.05,1,0.701028515,0.244545425,0.121041007,0.031863991
Jerdon's Bullfrog,Hoplobatrachus crassus,Least Concern,Hunting for its meat,0.1,200,Widespread and common,None are specifically required.,8792,0.17658444,0.05,0.771585146,0.449523991,0.575343266,0.293986723,0.120830252
Indian Bullfrog,Hoplobatrachus tigerinus,Least Concern,Hunting for its legs,0.13,200,Widespread and common,Monitoring hunting pressure is important to ensure its population remains stable.,6113,0.067540434,0.05,0.77865263,0.568120004,0.657765728,0.475232658,0.059729816
Rufous Frog,Minervarya rufescens,Least Concern,Habitat loss,0.17,200,Widespread and common,Protection of its native forest habitat is important.,7324,0.124028105,0.05,0.836289016,0.78703631,0.427135669,0.170564199,0.0687761
Bengaluru Burrowing Frog,Sphaerotheca Bengaluru,Data Deficient,Habitat loss due to rapid urbanization,0.35,200,Not enough is known,Further research is needed to determine its conservation status and to implement protection measures.,3357,0.081483832,0.159187817,0.584107345,0.612880598,0.515656584,0.1,0.101385437
Monsoon Burrowing Frog,Sphaerotheca varshaabhu,Data Deficient,Habitat loss due to expansion and urbanization,0.3,200,Not enough is known,More research is needed to understand its population and range.,590,0.058322051,0.3,0.917801996,0.571110126,0.9,0.233258136,0.155877381
Indian Burrowing Frog,Sphaerotheca breviceps,Least Concern,No major threats,0.05,200,Widespread and adaptable,None are needed.,4630,0.065522984,0.05,0.722906673,0.163042921,0.106849186,0.168776943,0.01
Dobson's Burrowing Frog,Sphaerotheca dobsonii,Data Deficient,Habitat loss is a potential threat,0.25,200,Not enough is known,More research is needed to assess its conservation status.,9020,0.124747776,0.05,0.890029094,0.313255549,0.091632975,0.1,0.011094638
Kerala Frog,Fejervarya keralensis,Least Concern,Habitat loss and water pollution,0.18,200,Widespread and common,Protecting its forest and aquatic habitats is important.,7886,0.120912628,0.05,0.660409375,0.709384026,0.573749475,0.342733484,0.118627499
Kudremukh Frog,Fejervarya kudremukhensis,Endangered,Habitat loss,0.8,60,Population decreasing,The protection of the Kudremukh National Park is crucial for this species' survival.,4432,0.120020601,0.050050761,0.963455645,0.613990061,0.886635709,0.331064079,0.142611189
Mysore Frog,Fejervarya mysorensis,Vulnerable,Habitat loss,0.64,100,Population decreasing,Protecting its forest habitat is crucial.,8207,0.088714318,0.05,0.780268725,0.644293255,0.33487536,0.471348968,0.017094022
Karnataka Caecilian,Gegeneophis carnosus,Least Concern,Habitat loss,0.15,200,Widespread and common,Protecting its native forest habitats is important.,1721,0.100170738,0.3,1,0.627079386,0.831708461,0.131876645,0.168169914
Beddome's Caecilian,Ichthyophis beddomei,Least Concern,Habitat loss,0.16,200,Widespread and common,Protecting its forest habitats is crucial.,9218,0.140887635,0.05,0.626095677,0.757951306,0.42410843,0.1,0.02420059
Bombay Caecilian,Ichthyophis bombayensis,Least Concern,Habitat loss,0.17,200,Widespread and common,Protecting its native forest habitats is important.,1700,0.025530347,0.3,0.740909879,0.447720015,0.229778179,0.238991538,0.045759579
Narayan's Caecilian,Uraeotyphlus narayani,Least Concern,Habitat loss,0.15,200,Widespread and common,Protecting its forest habitats.,6937,0.101232105,0.05,0.493684751,0.524099992,0.152326903,0.286748601,0.013784992
Madhav's Caecilian,Gegeneophis madhavai,Vulnerable,Habitat loss and fragmentation,0.63,100,Population decreasing,Protecting its forest habitats from human encroachment.,3494,0.104497807,0.145279188,0.594140352,0.294265133,0.557353396,0.43820244,0.134664771
Marsh Crocodile,Mugger Crocodile,Vulnerable,"Habitat loss, accidental drowning, and persecution",0.71,100,Population increasing due to conservation efforts,"Protecting and restoring wetland habitats, promoting community awareness to reduce human-crocodilian conflict, and implementing stricter laws against illegal killing.",5285,0.137665213,0.05,0.82373731,0.244395483,0.171260233,0.511585201,0.021165735
Prashad's Dwarf Gecko,Hemidactylus prashadi,Vulnerable,Habitat loss and fragmentation,0.62,100,Population decreasing,Protecting its native forest habitats from human encroachment.,2619,0.032487579,0.234111675,0.925864888,0.171251857,0.420319211,0.48217187,0.048499088
White-striped Gecko,Geckoella albofasciata,Vulnerable,Habitat loss,0.61,100,Population decreasing,Protecting its forest habitats is crucial.,9326,0.174756687,0.05,1,0.3229673,0.795866256,0.34148155,0.063492308
Heteropholis Day Gecko,Cnemaspis heteropholis,Least Concern,Localized threats from habitat loss,0.15,200,Generally stable,Protecting its native forest and rocky habitats.,3242,0.110681521,0.170862944,0.680674219,0.810512363,0.323304902,0.419924888,0.035925913
Southern Flying Lizard,Draco dussumieri,Least Concern,Habitat loss,0.18,200,Widespread and common,Protecting its forest habitats.,4697,0.113329027,0.05,0.513357318,0.189454586,0.728502369,0.203925985,0.16415355
Peninsular Rock Agama,Psammophilus dorsalis,Least Concern,No major threats,0.05,200,Widespread and common,None are specifically needed.,1666,0.079931012,0.3,0.850665152,0.439292803,0.096364128,0.325259279,0.024020384
Large-scaled Forest Lizard,Calotes grandisquamis,Vulnerable,Habitat loss and fragmentation,0.6,100,Population decreasing,Protecting its forest habitats.,3761,0.126901118,0.118172589,0.474434556,0.241370935,0.266522725,0.121306479,0.032958708
Indian Chameleon,Chamaeleo zeylanicus,Least Concern,Hunting and capture for the illegal pet trade,0.2,200,Widespread and common,Regulation of the illegal pet trade and public awareness.,814,0.102397703,0.3,0.812855478,0.379805207,0.05,0.30940281,0.01
Common Indian Monitor Lizard,Varanus bengalensis,Least Concern,Poaching for its skin; killed out of fear,0.25,200,Widespread and common,Public awareness and strict enforcement of anti-poaching laws.,5592,0.160449097,0.05,0.599548857,0.533938758,0.418249189,0.313297005,0.081313576
Indian Skink,Eutropis carinata,Least Concern,No major threats,0.05,200,Highly adaptable and common,None are specifically needed.,7893,0.027925288,0.05,0.742318994,0.359976825,0.595019545,0.558319291,0.135211739
Indian Rock Python,Python molurus,Vulnerable,Habitat loss and illegal poaching,0.7,100,Population decreasing,Protecting their habitats and enforcing anti-poaching laws.,9574,0.108777291,0.05,0.91820922,0.717932973,0.418796772,0.265652571,0.070612849
Red Sand Boa,Eryx johnii,Least Concern,Illegal trade (traditional medicine/luck),0.25,200,Widespread and common,Raising awareness about its harmless nature and cracking down on the illegal wildlife trade.,3423,0.120425617,0.15248731,0.677853314,0.806795624,0.706762515,0.313506426,0.090681263
Common Sand Boa,Gongylophis conicus,Least Concern,Poaching for illegal pet trade and traditional medicine,0.22,200,Widespread and common,Public education and enforcement of anti-poaching laws.,7338,0.09068138,0.05,0.886575817,0.1,0.21270519,0.335544212,0.028188621
Oriental Rat Snake,Ptyas mucosa,Least Concern,Habitat loss and persecution by humans,0.15,200,Highly adaptable and widespread,Public awareness about its harmless and beneficial role in controlling rodent populations.,2867,0.079766709,0.20893401,0.87463171,0.363401534,0.456335688,0.231776953,0.086303862
Common Bronzeback Tree Snake,Dendrelaphis tristis,Least Concern,Habitat loss,0.1,200,Widespread and common,Protecting its forest and tree habitats.,8180,0.081852136,0.05,0.327133694,0.511828424,0.268132669,0.17962609,0.013579218
Checkered Keelback,Fowlea piscator,Least Concern,Water pollution and habitat loss,0.2,200,Widespread and common,Protecting freshwater ecosystems from pollution.,330,0.108731963,0.3,0.519679851,0.725223405,0.490419146,0.494821699,0.085292652
Common Wolf Snake,Lycodon aulicus,Least Concern,No major threats,0.05,200,Common and adaptable species,None are specifically needed.,3183,0.02,0.176852792,0.387638628,0.409151145,0.525934012,0.152862384,0.063689874
Common Trinket Snake,Coelognathus helena,Least Concern,Habitat loss,0.1,200,Widespread and common,Protecting its natural habitats.,4478,0.148250748,0.05,1,0.496012921,0.54559899,0.100812289,0.113942602
Spectacled Cobra,Naja naja,Vulnerable,"Habitat loss, persecution, and poaching",0.75,100,Population decreasing,"Public education to reduce human-snake conflict, and strict anti-poaching laws.",7326,0.075993407,0.05,0.678921615,0.268651155,0.132351415,0.402039807,0.01
King Cobra,Ophiophagus hannah,Vulnerable,Habitat loss and illegal poaching,0.76,100,Population decreasing,Protection of its forest habitats.,8430,0.106390135,0.05,1,0.19344083,0.177563475,0.473672226,0.029766821
Common Krait,Bungarus caeruleus,Least Concern,Persecution by humans,0.1,200,Widespread and common,Public awareness about its nocturnal nature and avoiding contact with it.,7894,0.118355113,0.05,0.373409544,0.789076938,0.223928073,0.232288551,0.03273707
Russell's Viper,Daboia russelii,Least Concern,Persecution by humans,0.08,200,Widespread and common,Public awareness about snakebite prevention and the use of anti-venom.,6840,0.073709731,0.05,0.585446315,0.135186025,0.340279813,0.234591977,0.060728073
Saw-scaled Viper,Echis carinatus,Least Concern,Persecution by humans,0.07,200,Widespread and common,Public awareness about its behavior and snakebite prevention.,5668,0.09344808,0.05,0.860099648,0.9,0.421796601,0.342381529,0.026560835
Malabar Pit Viper,Craspedocephalus malabaricus,Least Concern,Habitat loss,0.18,200,Widespread and common,Protecting its native forest habitats.,1120,0.02,0.3,0.735854921,0.64503028,0.57702228,0.193822098,0.095783828
Bamboo Pit Viper,Trimeresurus gramineus,Least Concern,Habitat loss,0.17,200,Widespread and common,Protecting its forest habitats.,7764,0.13660618,0.05,0.806571979,0.635994615,0.187975325,0.182743122,0.030507816
Jerdon's Shield-tail Snake,Uropeltis jerdoni,Vulnerable,Habitat loss and fragmentation,0.6,100,Population decreasing,Protecting its limited forest habitats.,8884,0.15400345,0.05,0.449238353,0.615093733,0.05,0.431938888,0.01
